Price,Close,Close,Close,Close,Close,Close,Close,High,High,High,High,High,High,High,Low,Low,Low,Low,Low,Low,Low,Open,Open,Open,Open,Open,Open,Open,Volume,Volume,Volume,Volume,Volume,Volume,Volume
Ticker,AAPL,JPM,TSLA,MSFT,HDFCBANK.NS,RELIANCE.NS,TCS.NS,AAPL,JPM,TSLA,MSFT,HDFCBANK.NS,RELIANCE.NS,TCS.NS,AAPL,JPM,TSLA,MSFT,HDFCBANK.NS,RELIANCE.NS,TCS.NS,AAPL,JPM,TSLA,MSFT,HDFCBANK.NS,RELIANCE.NS,TCS.NS,AAPL,JPM,TSLA,MSFT,HDFCBANK.NS,RELIANCE.NS,TCS.NS
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22/01/2019,36.51732254,85.70167542,19.9279995,99.22707367,14.0946301,7.712515878,24.06208001,37.33437503,86.24282137,20.53333282,100.5603653,14.16688963,7.786197766,24.26893338,36.35533905,85.02731365,19.70000076,98.45714398,14.04975608,7.615418513,23.91152565,37.25815028,85.81823051,20.32133293,100.2317381,14.16161004,7.698154641,24.12786772,121576000,17083700,181000500,32371300,4398488,36207430,2457093
23/01/2019,36.66501999,85.48519897,19.17266655,100.1941833,13.94631205,7.686258935,23.81922317,36.9556344,86.3343869,19.63333321,100.5040349,14.14801621,7.798453516,24.20655859,36.13619729,84.8940964,18.77933311,98.9078343,13.92014731,7.659307131,23.74810616,36.71980688,86.11793109,19.5,99.64021276,14.13576104,7.730133439,24.14179134,92522400,12146700,187950000,25874300,3812144,19313542,2578169
24/01/2019,36.37440491,85.53515625,19.43400002,99.7153244,13.93971521,7.826834057,24.17351591,36.79841537,85.82654397,19.57866669,100.4664785,14.06835315,7.862911318,24.22055165,36.14572699,84.86912807,18.6186676,98.90783624,13.91087034,7.655233148,23.83599756,36.71027947,85.02730635,18.8686676,100.3350276,13.99110433,7.685977016,23.96058099,101766000,11296800,120183000,23164800,5055786,28775487,1962927
25/01/2019,37.57973099,86.07629395,19.80266762,100.6260834,13.93102593,7.836161139,24.47578105,37.66787051,86.84222908,19.90133286,101.2927292,14.02407668,7.953766453,24.65672383,36.76029769,85.53514178,19.30333328,99.71531147,13.89114704,7.769497388,24.22347907,37.03661649,86.17620101,19.62599945,100.6918088,13.91108648,7.86414789,24.23622156,134142000,14369400,108744000,31225600,5631118,18703992,2327080
28/01/2019,37.23195267,86.48426056,19.75866699,98.66372681,13.8551906,7.734339908,24.91683793,37.23909862,86.78397549,19.8306675,99.97824304,13.97418873,7.900406314,25.00605423,36.60308299,85.4102831,19.18333244,98.26937409,13.80599689,7.689363695,24.54085496,37.11046413,85.66004766,19.52733231,99.77167528,13.89408138,7.866123446,24.63644385,104768400,12283100,96349500,29476700,7680218,18744303,2769033
29/01/2019,36.84605408,86.72566986,19.8306675,96.65440369,13.65654274,7.603120095,25.22959948,37.66787553,87.50825931,19.90399933,98.56044912,13.82512498,7.735004657,25.30976475,36.71027725,86.35935667,19.4533329,95.93141649,13.62601133,7.544714254,24.64299808,37.22004281,86.48423256,19.68466759,98.47594087,13.79359866,7.730922227,24.96556508,166348800,9743300,69325500,31490500,7381394,20405845,2557626
30/01/2019,39.36391449,86.92549896,20.58466721,99.88432312,13.40463561,7.453673161,25.02588061,39.57830047,87.61650229,20.60000038,99.88432312,13.55319569,7.63632213,25.12818656,38.16810802,86.40099473,19.89933205,97.95950257,13.36049622,7.424997979,24.68801733,38.88749798,86.70070962,20.03000069,98.23179572,13.55319569,7.573984922,25.00314526,244439200,12526300,168754500,49471900,9257080,17164298,2429575
31/01/2019,39.64737701,86.1678772,20.46800041,98.05340576,13.79907853,7.703504919,25.61773796,40.25718948,86.4176417,20.77066612,98.79516847,13.86409531,7.719512653,25.68960174,39.19954439,85.52682429,19.60000038,96.87973194,13.41461931,7.539346864,25.24760958,39.56876786,86.09295166,20.06666756,97.46187674,13.4743283,7.545624243,25.27304798,162958400,17520600,188538000,55636400,8289702,22279301,4094319
1/02/2019,39.66644287,86.48426056,20.81399918,96.50415039,13.85315858,7.83781621,25.79033094,40.25243319,87.29182545,21.07333374,97.7435496,14.02910254,7.869482609,25.85131513,39.52589723,86.18454562,20.23333359,96.10040633,13.76137728,7.694222412,25.38567988,39.77125509,86.58416765,20.36133385,97.4430894,13.78357635,7.737802429,25.53051616,130672400,13000800,109251000,35535700,7827094,20187323,3064163
4/02/2019,40.79317474,86.79228973,20.85933304,99.28340912,13.89977766,8.066079557,25.95647921,40.89084103,86.79228973,21.02000046,99.33975033,13.95326693,8.103882643,26.02231139,39.84748742,85.75994198,20.12533379,96.49475911,13.75284903,7.760844414,25.61149003,39.87845567,86.40932212,20.86533356,96.58865874,13.83440332,7.791773605,25.69947748,125982000,9871500,110281500,31315100,3969144,25528059,1590764
5/02/2019,41.49111557,86.40932465,21.42333221,100.6730652,13.91476875,8.043876177,25.80007952,41.7055052,87.0420568,21.49600029,100.7200078,13.94734954,8.123907631,25.93194696,41.05519763,85.99305466,20.81666756,99.48999975,13.80254459,7.963222765,25.59123525,41.17668254,87.01707527,20.8326664,99.58389224,13.87494706,8.046679149,25.8688522,144406400,12763000,101142000,27325400,4345144,20479210,1111404
6/02/2019,41.50541306,86.36767578,21.14800072,99.55571747,13.95482552,8.150676988,26.15079584,41.82223051,87.10031486,21.61599922,100.4664896,13.98342414,8.196710545,26.30267474,41.17430368,86.14289283,21.04133224,99.08624789,13.89532987,8.051146072,25.72541057,41.60307569,86.3427006,21.30599976,100.4664896,13.91275098,8.063587125,25.8369542,112958400,8745000,75577500,20609800,5437842,20586783,1789812
